"","암호화요양기호","요양기관명","종별코드명","시도코드명","시군구코드명","진료과목코드명","과목별 전문의수","좌표(X)","좌표(Y)"
"2911","JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz","키즈온소아청소년과의원","의원","전북","전주덕진구","소아청소년과",1,127.1343046,35.8725528
"2912","JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQyIyQ3IyQwMCQ0NjEwMDIjODEjJDEjJDYjJDgz","키즈원소아청소년과의원","의원","경기","수원권선구","소아청소년과",1,126.9626498,37.2588546
"2913","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjODEjJDEjJDIjJDgz","키즈원소아청소년과의원","의원","경기","고양덕양구","소아청소년과",1,126.8719741,37.6343933
"2914","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQyIyQ3IyQwMCQzNjEyMjIjODEjJDEjJDYjJDgz","키즈웰소아청소년과의원","의원","서울","중랑구","소아청소년과",2,127.0776975,37.6138821
"2915","JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQyNjE0ODEjNzEjJDEjJDgjJDgz","키즈웰소아청소년과의원","의원","인천","인천계양구","소아청소년과",1,126.7378296,37.5309654
"2916","JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ3OSQzNjE0ODEjNTEjJDEjJDYjJDgz","키즈웰소아청소년과의원","의원","충북","청주청원구","소아청소년과",1,127.4277644,36.7114926
"2917","JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDAjJDgz","키즈웰소아청소년과의원","의원","대전","대전서구","소아청소년과",2,127.3343923,36.3038191
"2918","JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz","키즈웰소아청소년과의원","의원","인천","인천남동구","소아청소년과",1,126.7097565,37.4607825
"2919","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ5MiQzNjEwMDIjNDEjJDEjJDQjJDgz","키즈웰의원","의원","경기","고양일산서구","소아청소년과",1,126.7772742,37.6852975
"2920","JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz","키즈위즈 소아청소년과의원","의원","서울","송파구","소아청소년과",1,127.1086482,37.5212331
"2921","JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQxMyQyNjE0ODEjNjEjJDEjJDQjJDgz","키즈톡스소아청소년과의원","의원","전북","전주완산구","소아청소년과",1,127.101104,35.8094833
"2922","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz","키즈하임소아청소년과의원","의원","경기","평택시","소아청소년과",1,127.1041729,37.0046213
"2923","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQyIyQxIyQwMCQ0NjE0ODEjNDEjJDEjJDgjJDgz","키즈힐소아청소년과의원","의원","서울","강남구","소아청소년과",2,127.0309965,37.5274022
"2924","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ2MiQyNjEyMjIjNjEjJDEjJDQjJDgz","키즈힐소아청소년과의원","의원","경기","고양덕양구","소아청소년과",1,126.8872258,37.5940841
"2925","JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz","키큰나무소아청소년과의원","의원","광주","광주광산구","소아청소년과",1,126.8113705,35.1753625
"2926","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjODEjJDEjJDIjJDgz","키클소아청소년과의원","의원","인천","인천중구","소아청소년과",2,126.5624567,37.489476
"2927","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz","킨더웰소아청소년과의원","의원","서울","중구","소아청소년과",1,127.0130457,37.5584532
"2928","JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQyIyQ5IyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz","킴스아산의원","의원","서울","관악구","소아청소년과",1,126.9582904,37.4879331
"2929","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ5MiQ0NjE0ODEjODEjJDEjJDIjJDgz","킴스의원","의원","서울","송파구","소아청소년과",1,127.1463662,37.4927985
"2930","JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjE0ODEjNTEjJDEjJDIjJDgz","킴앤리소아청소년과이비인후과의원","의원","서울","영등포구","소아청소년과",1,126.8890164,37.5192659
"2931","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz","킹소아청소년과의원","의원","인천","인천서구","소아청소년과",1,126.6574368,37.6026027
"2932","JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQyIyQ1IyQwMCQyNjE0ODEjNjEjJDEjJDAjJDgz","타임소아청소년과의원","의원","제주","제주시","소아청소년과",1,126.5394551,33.4891999
"2933","JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz","탑팀재활의학과의원","의원","광주","광주북구","소아청소년과",1,126.8661915,35.2036148
"2934","JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz","태림의원","의원","경기","오산시","소아청소년과",1,127.0457071,37.1773828
"2935","JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz","태소아과의원","의원","경기","부천시","소아청소년과",1,126.7865264,37.5295671
"2936","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQwMyQyNjEwMDIjNjEjJDEjJDAjJDgz","태영성모의원","의원","서울","구로구","소아청소년과",1,126.8890672,37.5052145
"2937","JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQxMyQyNjEyMjIjNDEjJDEjJDQjJDgz","태평수소아청소년과의원","의원","경기","성남수정구","소아청소년과",1,127.1332562,37.4416227
"2938","JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQwMyQ0NjEwMDIjNDEjJDEjJDQjJDgz","테크노키즈소아과의원","의원","대전","대전유성구","소아청소년과",2,127.3878069,36.4222622
"2939","JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ4MiQyNjEwMDIjODEjJDEjJDIjJDgz","토리소아청소년과의원","의원","대전","대전서구","소아청소년과",1,127.3784112,36.3595692
"2940","JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQxMyQ0NjE0ODEjNzEjJDEjJDgjJDgz","통영자모소아청소년과의원","의원","경남","통영시","소아청소년과",1,128.421092,34.8602619
"2941","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ2MiQyNjEwMDIjNTEjJDEjJDIjJDgz","트리니티소아청소년과의원","의원","경기","화성시","소아청소년과",1,126.8257613,37.2011894
"2942","JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ4MiQyNjEyMjIjNjEjJDEjJDAjJDgz","튼튼나무소아청소년과의원","의원","인천","인천서구","소아청소년과",1,126.7168326,37.5947223
"2943","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ4MiQzNjEyMjIjNDEjJDEjJDgjJDgz","튼튼사랑소아청소년과의원","의원","서울","마포구","소아청소년과",1,126.9549326,37.5442269
"2944","JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz","튼튼사랑소아청소년과의원","의원","경기","수원영통구","소아청소년과",1,127.0486285,37.2409827
"2945","JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjODEjJDEjJDIjJDgz","튼튼소아과의원","의원","서울","동대문구","소아청소년과",1,127.0605491,37.5769111
"2946","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz","튼튼소아과의원","의원","서울","은평구","소아청소년과",1,126.9091299,37.5958353
"2947","JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ3MiQzNjE4MzIjNDEjJDEjJDQjJDgz","튼튼소아과의원","의원","서울","성북구","소아청소년과",1,127.0165928,37.603531
